spore,metric,unit,paper_metrics
max_pvfarm/spore_0,transport_electrification,percentage,99.99953532505653
max_pvfarm/spore_0,heat_electrification,percentage,3.9299300430106023
max_pvfarm/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_pvfarm/spore_0,average_national_import,twh,8.090472533996676
max_pvfarm/spore_1,electricity_production_gini,fraction,0.6284618962420995
max_pvfarm/spore_1,transport_electrification,percentage,99.9984725059752
max_pvfarm/spore_1,heat_electrification,percentage,4.725329689822373
max_pvfarm/spore_1,storage_discharge_capacity,tw,0.019978250249584193
max_pvfarm/spore_1,average_national_import,twh,6.162160893732572
max_pvfarm/spore_2,electricity_production_gini,fraction,0.6284618962420995
max_pvfarm/spore_2,transport_electrification,percentage,99.9984725059752
max_pvfarm/spore_2,heat_electrification,percentage,4.725329689822373
max_pvfarm/spore_2,storage_discharge_capacity,tw,0.019978250249584193
max_pvfarm/spore_2,average_national_import,twh,6.162160893732572
max_pvfarm/spore_3,electricity_production_gini,fraction,0.6284618962420995
max_pvfarm/spore_3,transport_electrification,percentage,99.9984725059752
max_pvfarm/spore_3,heat_electrification,percentage,4.725329689822373
max_pvfarm/spore_3,storage_discharge_capacity,tw,0.019978250249584193
max_pvfarm/spore_3,average_national_import,twh,6.162160893732572
max_pvfarm/spore_4,electricity_production_gini,fraction,0.6284618962420995
max_pvfarm/spore_4,transport_electrification,percentage,99.9984725059752
max_pvfarm/spore_4,heat_electrification,percentage,4.725329689822373
max_pvfarm/spore_4,storage_discharge_capacity,tw,0.019978250249584193
max_pvfarm/spore_4,average_national_import,twh,6.162160893732572
max_pvfarm/spore_5,electricity_production_gini,fraction,0.6284618962420995
max_pvfarm/spore_5,transport_electrification,percentage,99.9984725059752
max_pvfarm/spore_5,heat_electrification,percentage,4.725329689822373
max_pvfarm/spore_5,storage_discharge_capacity,tw,0.019978250249584193
max_pvfarm/spore_5,average_national_import,twh,6.162160893732572
max_pvroof/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_pvroof/spore_0,transport_electrification,percentage,99.99953532505653
max_pvroof/spore_0,heat_electrification,percentage,3.9299300430106023
max_pvroof/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_pvroof/spore_0,average_national_import,twh,8.090472533996676
max_pvroof/spore_1,electricity_production_gini,fraction,0.6222010948920459
max_pvroof/spore_1,transport_electrification,percentage,99.99974439897223
max_pvroof/spore_1,heat_electrification,percentage,3.8734810930957133
max_pvroof/spore_1,storage_discharge_capacity,tw,0.01024409994533566
max_pvroof/spore_1,average_national_import,twh,8.391513800473447
max_pvroof/spore_2,electricity_production_gini,fraction,0.6222010948920459
max_pvroof/spore_2,transport_electrification,percentage,99.99974439897223
max_pvroof/spore_2,heat_electrification,percentage,3.8734810930957133
max_pvroof/spore_2,storage_discharge_capacity,tw,0.01024409994533566
max_pvroof/spore_2,average_national_import,twh,8.391513800473447
max_pvroof/spore_3,electricity_production_gini,fraction,0.6222010948920459
max_pvroof/spore_3,transport_electrification,percentage,99.99974439897223
max_pvroof/spore_3,heat_electrification,percentage,3.8734810930957133
max_pvroof/spore_3,storage_discharge_capacity,tw,0.01024409994533566
max_pvroof/spore_3,average_national_import,twh,8.391513800473447
max_pvroof/spore_4,electricity_production_gini,fraction,0.6222010948920459
max_pvroof/spore_4,transport_electrification,percentage,99.99974439897223
max_pvroof/spore_4,heat_electrification,percentage,3.8734810930957133
max_pvroof/spore_4,storage_discharge_capacity,tw,0.01024409994533566
max_pvroof/spore_4,average_national_import,twh,8.391513800473447
max_pvroof/spore_5,electricity_production_gini,fraction,0.6222010948920459
max_pvroof/spore_5,transport_electrification,percentage,99.99974439897223
max_pvroof/spore_5,heat_electrification,percentage,3.8734810930957133
max_pvroof/spore_5,storage_discharge_capacity,tw,0.01024409994533566
max_pvroof/spore_5,average_national_import,twh,8.391513800473447
max_trn/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_trn/spore_0,transport_electrification,percentage,99.99953532505653
max_trn/spore_0,heat_electrification,percentage,3.9299300430106023
max_trn/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_trn/spore_0,average_national_import,twh,8.090472533996676
max_trn/spore_1,electricity_production_gini,fraction,0.5876311354136824
max_trn/spore_1,transport_electrification,percentage,99.13468283208167
max_trn/spore_1,heat_electrification,percentage,8.837207762281068
max_trn/spore_1,storage_discharge_capacity,tw,2.8147059536231485
max_trn/spore_1,average_national_import,twh,6.996229370553508
max_trn/spore_2,electricity_production_gini,fraction,0.5876311354136824
max_trn/spore_2,transport_electrification,percentage,99.13468283208167
max_trn/spore_2,heat_electrification,percentage,8.837207762281068
max_trn/spore_2,storage_discharge_capacity,tw,2.8147059536231485
max_trn/spore_2,average_national_import,twh,6.996229370553508
max_trn/spore_3,electricity_production_gini,fraction,0.5876311354136824
max_trn/spore_3,transport_electrification,percentage,99.13468283208167
max_trn/spore_3,heat_electrification,percentage,8.837207762281068
max_trn/spore_3,storage_discharge_capacity,tw,2.8147059536231485
max_trn/spore_3,average_national_import,twh,6.996229370553508
max_trn/spore_4,electricity_production_gini,fraction,0.5876311354136824
max_trn/spore_4,transport_electrification,percentage,99.13468283208167
max_trn/spore_4,heat_electrification,percentage,8.837207762281068
max_trn/spore_4,storage_discharge_capacity,tw,2.8147059536231485
max_trn/spore_4,average_national_import,twh,6.996229370553508
max_trn/spore_5,electricity_production_gini,fraction,0.5876311354136824
max_trn/spore_5,transport_electrification,percentage,99.13468283208167
max_trn/spore_5,heat_electrification,percentage,8.837207762281068
max_trn/spore_5,storage_discharge_capacity,tw,2.8147059536231485
max_trn/spore_5,average_national_import,twh,6.996229370553508
max_wind/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_wind/spore_0,transport_electrification,percentage,99.99953532505653
max_wind/spore_0,heat_electrification,percentage,3.9299300430106023
max_wind/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_wind/spore_0,average_national_import,twh,8.090472533996676
max_wind/spore_1,electricity_production_gini,fraction,0.6238519828407026
max_wind/spore_1,transport_electrification,percentage,99.99872778078908
max_wind/spore_1,heat_electrification,percentage,11.971194640760837
max_wind/spore_1,storage_discharge_capacity,tw,0.04762170937012631
max_wind/spore_1,average_national_import,twh,10.103765393538733
max_wind/spore_2,electricity_production_gini,fraction,0.6238519828407026
max_wind/spore_2,transport_electrification,percentage,99.99872778078908
max_wind/spore_2,heat_electrification,percentage,11.971194640760837
max_wind/spore_2,storage_discharge_capacity,tw,0.04762170937012631
max_wind/spore_2,average_national_import,twh,10.103765393538733
max_wind/spore_3,electricity_production_gini,fraction,0.6238519828407026
max_wind/spore_3,transport_electrification,percentage,99.99872778078908
max_wind/spore_3,heat_electrification,percentage,11.971194640760837
max_wind/spore_3,storage_discharge_capacity,tw,0.04762170937012631
max_wind/spore_3,average_national_import,twh,10.103765393538733
max_wind/spore_4,electricity_production_gini,fraction,0.6238519828407026
max_wind/spore_4,transport_electrification,percentage,99.99872778078908
max_wind/spore_4,heat_electrification,percentage,11.971194640760837
max_wind/spore_4,storage_discharge_capacity,tw,0.04762170937012631
max_wind/spore_4,average_national_import,twh,10.103765393538733
max_wind/spore_5,electricity_production_gini,fraction,0.6238519828407026
max_wind/spore_5,transport_electrification,percentage,99.99872778078908
max_wind/spore_5,heat_electrification,percentage,11.971194640760837
max_wind/spore_5,storage_discharge_capacity,tw,0.04762170937012631
max_wind/spore_5,average_national_import,twh,10.103765393538733
max_windoff/spore_0,electricity_production_gini,fraction,0.6268254477255376
max_windoff/spore_0,transport_electrification,percentage,99.99953532505653
max_windoff/spore_0,heat_electrification,percentage,3.9299300430106023
max_windoff/spore_0,storage_discharge_capacity,tw,0.011054055722245321
max_windoff/spore_0,average_national_import,twh,8.090472533996676
max_windoff/spore_1,electricity_production_gini,fraction,0.6694216734728493
max_windoff/spore_1,transport_electrification,percentage,99.99876677289005
max_windoff/spore_1,heat_electrification,percentage,5.450092111198917
max_windoff/spore_1,storage_discharge_capacity,tw,0.014116860395926535
max_windoff/spore_1,average_national_import,twh,10.29990791152108
max_windoff/spore_2,electricity_production_gini,fraction,0.6694216734728493
max_windoff/spore_2,transport_electrification,percentage,99.99876677289005
max_windoff/spore_2,heat_electrification,percentage,5.450092111198917
max_windoff/spore_2,storage_discharge_capacity,tw,0.014116860395926535
max_windoff/spore_2,average_national_import,twh,10.29990791152108
