region,carriers,spore,final_consumption_twh
Albania,biofuel,0,0.10401270749193979
Albania,biofuel,1,0.08837138865191484
Albania,biofuel,2,0.08938014512024099
Albania,biofuel,3,0.0886369202878896
Albania,biofuel,4,0.0893288322920149
Albania,biofuel,5,0.09092545047188469
Albania,biofuel,6,0.0885851870639964
Albania,biofuel,7,0.08875661293987719
Albania,biofuel,8,0.09060292393597809
Albania,biofuel,9,0.08861536623732
Albania,biofuel,10,0.0886068514100155
Albania,biofuel,11,1.0758100213780204
Albania,biofuel,12,0.0902461651992717
Albania,biofuel,13,1.0758100213780204
Albania,biofuel,14,1.0758100213780204
Albania,biofuel,15,1.0758100213780204
Albania,biofuel,16,1.0758100213780204
Albania,biofuel,17,0.08837281256773957
Albania,biofuel,18,0.10401270749193979
Albania,biofuel,19,0.08837281256773957
Albania,biofuel,20,0.08837281256773957
Albania,biofuel,21,0.08837281256773957
Albania,biofuel,22,0.08837281256773957
Albania,biofuel,23,0.0902461651992717
Albania,biofuel,24,0.0889640334275984
Albania,biofuel,25,0.0889640334275984
Albania,biofuel,26,0.0889640334275984
Albania,biofuel,27,0.0889640334275984
Albania,biofuel,28,0.0889640334275984
Albania,biofuel,29,0.09722101419048869
Albania,biofuel,30,0.09722101419048869
Albania,biofuel,31,0.0902461651992717
Albania,biofuel,32,0.09722101419048869
Albania,biofuel,33,0.09722101419048869
Albania,biofuel,34,0.09722101419048869
Albania,biofuel,35,1.0528189356998028
Albania,biofuel,36,1.0528189356998028
Albania,biofuel,37,0.0902461651992717
Albania,biofuel,38,1.0528189356998028
Albania,biofuel,39,1.0528189356998028
Albania,biofuel,40,1.0528189356998028
Albania,biofuel,41,0.0992672449777404
Albania,biofuel,42,0.0992672449777404
Albania,biofuel,43,0.0902461651992717
Albania,biofuel,44,0.0992672449777404
Albania,biofuel,45,0.0992672449777404
Albania,biofuel,46,0.0992672449777404
Albania,biofuel,47,1.0566528512631457
Albania,biofuel,48,1.0566528512631457
Albania,biofuel,49,0.0902461651992717
Albania,biofuel,50,1.0566528512631457
Albania,biofuel,51,1.0566528512631457
Albania,biofuel,52,1.0566528512631457
Albania,biofuel,53,1.0758100213780204
Albania,biofuel,54,1.0758100213780204
Albania,biofuel,55,0.0902461651992717
Albania,biofuel,56,1.0758100213780204
Albania,biofuel,57,1.0758100213780204
Albania,biofuel,58,1.0758100213780204
Albania,biofuel,59,0.08837281256773957
Albania,biofuel,60,0.08837281256773957
Albania,biofuel,61,0.10401270749193979
Albania,biofuel,62,0.08837281256773957
Albania,biofuel,63,0.08837281256773957
Albania,biofuel,64,0.08837281256773957
Albania,biofuel,65,1.0630196785504826
Albania,biofuel,66,0.0902461651992717
Albania,biofuel,67,1.0630196785504826
Albania,biofuel,68,1.0630196785504826
Albania,biofuel,69,1.0630196785504826
Albania,biofuel,70,1.0630196785504826
Albania,biofuel,71,1.148359758276395
Albania,biofuel,72,1.148359758276395
Albania,biofuel,73,0.0902461651992717
Albania,biofuel,74,1.148359758276395
Albania,biofuel,75,1.148359758276395
Albania,biofuel,76,1.148359758276395
Albania,biofuel,77,0.09311280617076399
Albania,biofuel,78,0.09311280617076399
Albania,biofuel,79,0.0902461651992717
Albania,biofuel,80,0.09311280617076399
Albania,biofuel,81,0.09311280617076399
Albania,biofuel,82,0.09311280617076399
Albania,biofuel,83,0.0902461651992717
Albania,biofuel,84,0.08876582095297379
Albania,biofuel,85,0.08876582095297379
Albania,biofuel,86,0.08876582095297379
Albania,biofuel,87,0.08876582095297379
Albania,biofuel,88,0.08876582095297379
Albania,biofuel,89,0.0902461651992717
Albania,biofuel,90,1.0774250944342556
Albania,biofuel,91,1.0774250944342556
Albania,biofuel,92,1.0774250944342556
Albania,biofuel,93,1.0774250944342556
Albania,biofuel,94,1.0774250944342556
Albania,biofuel,95,1.048531361967939
Albania,biofuel,96,1.048531361967939
Albania,biofuel,97,0.0902461651992717
Albania,biofuel,98,1.048531361967939
Albania,biofuel,99,1.048531361967939
Albania,biofuel,100,1.048531361967939
Albania,biofuel,101,0.08986893537668099
Albania,biofuel,102,0.08986893537668099
Albania,biofuel,103,0.0902461651992717
Albania,biofuel,104,0.08986893537668099
Albania,biofuel,105,0.08986893537668099
Albania,biofuel,106,0.08986893537668099
Albania,biofuel,107,1.0245666849731345
Albania,biofuel,108,1.0245666849731345
Albania,biofuel,109,0.0902461651992717
Albania,biofuel,110,1.0245666849731345
Albania,biofuel,111,1.0245666849731345
Albania,biofuel,112,1.0245666849731345
Albania,biofuel,113,0.09907558224937729
Albania,biofuel,114,0.0902461651992717
Albania,biofuel,115,0.09907558224937729
Albania,biofuel,116,0.09907558224937729
Albania,biofuel,117,0.09907558224937729
Albania,biofuel,118,0.09907558224937729
Albania,biofuel,119,0.0886068514100155
Albania,biofuel,120,0.0893579458073424
Albania,biofuel,121,0.08861536623732
Albania,biofuel,122,0.0899079433640847
Albania,biofuel,123,0.08858025284015089
Albania,biofuel,124,0.0885851870639964
Albania,biofuel,125,0.0906952135104971
Albania,biofuel,126,0.0886369202878896
Albania,biofuel,127,0.08938014512024099
Albania,biofuel,128,0.09060292393597809
Albania,biofuel,129,0.08837138865191484
Albania,biofuel,130,0.0893288322920149
Albania,biofuel,131,0.10401270749193979
Albania,biofuel,132,0.0886064631097924
Albania,biofuel,133,0.09092545047188469
Albania,biofuel,134,0.08875661293987719
Albania,biofuel,135,0.10401270749193979
Albania,biofuel,136,0.08837241685565718
Albania,biofuel,137,0.08860684804434099
Albania,biofuel,138,0.0885888555603892
Albania,biofuel,139,0.08865723397133539
Albania,biofuel,140,0.0886004850691704
Albania,biofuel,141,0.08859107866549179
Albania,biofuel,142,0.0887933320723076
Albania,biofuel,143,0.0913047471218344
Albania,biofuel,144,0.0886207507904631
Albania,biofuel,145,0.0886166233883213
Albania,biofuel,146,1.2381876444350572
Albania,biofuel,147,1.8979761860019448
Albania,biofuel,148,0.09022233839763559
Albania,biofuel,149,1.5814701365820347
Albania,biofuel,150,0.17147689991880988
Albania,biofuel,151,0.20393863443284438
Albania,biofuel,152,0.139041207602964
Albania,biofuel,153,0.23150585409095642
Albania,biofuel,154,0.1288081343347134
Albania,biofuel,155,0.22463443991872312
Albania,biofuel,156,0.3300495156155547
Albania,biofuel,157,0.10401270749193979
Albania,biofuel,158,0.08837235212646738
Albania,biofuel,159,0.0889129762738395
Albania,biofuel,160,0.0888657233518651
Albania,biofuel,161,0.08868213000670419
Albania,biofuel,162,0.08867011658234679
Albania,biofuel,163,0.08867041701284589
Albania,biofuel,164,0.0888609718321606
Albania,biofuel,165,0.0889136013256185
Albania,biofuel,166,0.08867478315943919
Albania,biofuel,167,0.08868125948255559
Albania,biofuel,168,0.0905390339619888
Albania,biofuel,169,0.0888656410976534
Albania,biofuel,170,0.0889773853134412
Albania,biofuel,171,0.0920451286564525
Albania,biofuel,172,0.0916526574383328
Albania,biofuel,173,0.088781668977966
Albania,biofuel,174,0.0886215877715669
Albania,biofuel,175,0.08890589090673459
Albania,biofuel,176,0.09054404458296579
Albania,biofuel,177,0.0889914923181815
Albania,biofuel,178,0.08871658919987149
Albania,biofuel,179,0.10401270749193979
Albania,biofuel,180,0.08837212518743248
Albania,biofuel,181,0.088633001830928
Albania,biofuel,182,0.08860692937244549
Albania,biofuel,183,0.0890000171736975
Albania,biofuel,184,0.09086184185222329
Albania,biofuel,185,0.0885710830768499
Albania,biofuel,186,0.0887534924087436
Albania,biofuel,187,0.0904346284033985
Albania,biofuel,188,0.08863948437054239
Albania,biofuel,189,0.0886143676970277
Albania,coal,0,2.5593275495399994
Albania,coal,1,2.5593275495399994
Albania,coal,2,2.5593275495399994
Albania,coal,3,2.5593275495399994
Albania,coal,4,2.5593275495399994
Albania,coal,5,2.5593275495399994
Albania,coal,6,2.5593275495399994
Albania,coal,7,2.5593275495399994
Albania,coal,8,2.5593275495399994
Albania,coal,9,2.5593275495399994
Albania,coal,10,2.5593275495399994
Albania,coal,11,2.5593275495399994
Albania,coal,12,2.5593275495399994
Albania,coal,13,2.5593275495399994
Albania,coal,14,2.5593275495399994
Albania,coal,15,2.5593275495399994
Albania,coal,16,2.5593275495399994
Albania,coal,17,2.5593275495399994
Albania,coal,18,2.5593275495399994
Albania,coal,19,2.5593275495399994
Albania,coal,20,2.5593275495399994
Albania,coal,21,2.5593275495399994
Albania,coal,22,2.5593275495399994
Albania,coal,23,2.5593275495399994
Albania,coal,24,2.5593275495399994
Albania,coal,25,2.5593275495399994
Albania,coal,26,2.5593275495399994
Albania,coal,27,2.5593275495399994
Albania,coal,28,2.5593275495399994
Albania,coal,29,2.5593275495399994
Albania,coal,30,2.5593275495399994
Albania,coal,31,2.5593275495399994
Albania,coal,32,2.5593275495399994
Albania,coal,33,2.5593275495399994
Albania,coal,34,2.5593275495399994
Albania,coal,35,2.5593275495399994
Albania,coal,36,2.5593275495399994
Albania,coal,37,2.5593275495399994
Albania,coal,38,2.5593275495399994
Albania,coal,39,2.5593275495399994
Albania,coal,40,2.5593275495399994
