region,technology,spore,scenario_eu,capacity_gw
Albania,CCGT,0,2,0.0006236836872592
Albania,CCGT,1,4,0.0553872807820407
Albania,CCGT,2,3,0.000431448692967
Albania,CCGT,3,0,0.000125885768829
Albania,CCGT,4,0,0.0002940159073949
Albania,CCGT,5,0,0.0010971635859812
Albania,CCGT,6,0,0.0001229514001585
Albania,CCGT,7,0,6.593213359338933e-05
Albania,CCGT,8,3,0.0006181769430735
Albania,CCGT,9,3,9.13691510166822e-05
Albania,CCGT,10,0,0.0001101487998998
Albania,CCGT,11,7,0.1158052852384999
Albania,CCGT,12,2,6.370880270397742e-05
Albania,CCGT,13,7,0.1158052852384999
Albania,CCGT,14,7,0.1158052852384999
Albania,CCGT,15,7,0.1158052852384999
Albania,CCGT,16,7,0.1158052852384999
Albania,CCGT,17,7,0.1350164033178
Albania,CCGT,18,2,0.0006236836872592
Albania,CCGT,19,7,0.1350164033178
Albania,CCGT,20,7,0.1350164033178
Albania,CCGT,21,7,0.1350164033178
Albania,CCGT,22,7,0.1350164033178
Albania,CCGT,23,2,6.370880270397742e-05
Albania,CCGT,24,2,1.3040315221664816e-05
Albania,CCGT,25,2,1.3040315221664816e-05
Albania,CCGT,26,2,1.3040315221664816e-05
Albania,CCGT,27,2,1.3040315221664816e-05
Albania,CCGT,28,2,1.3040315221664816e-05
Albania,CCGT,29,1,0.0004310736977661
Albania,CCGT,30,1,0.0004310736977661
Albania,CCGT,31,2,6.370880270397742e-05
Albania,CCGT,32,1,0.0004310736977661
Albania,CCGT,33,1,0.0004310736977661
Albania,CCGT,34,1,0.0004310736977661
Albania,CCGT,35,7,0.1166728497509
Albania,CCGT,36,7,0.1166728497509
Albania,CCGT,37,2,6.370880270397742e-05
Albania,CCGT,38,7,0.1166728497509
Albania,CCGT,39,7,0.1166728497509
Albania,CCGT,40,7,0.1166728497509
Albania,CCGT,41,5,0.0006435404362268
Albania,CCGT,42,5,0.0006435404362268
Albania,CCGT,43,2,6.370880270397742e-05
Albania,CCGT,44,5,0.0006435404362268
Albania,CCGT,45,5,0.0006435404362268
Albania,CCGT,46,5,0.0006435404362268
Albania,CCGT,47,4,0.0867164192997139
Albania,CCGT,48,4,0.0867164192997139
Albania,CCGT,49,2,6.370880270397742e-05
Albania,CCGT,50,4,0.0867164192997139
Albania,CCGT,51,4,0.0867164192997139
Albania,CCGT,52,4,0.0867164192997139
Albania,CCGT,53,7,0.1158052852384999
Albania,CCGT,54,7,0.1158052852384999
Albania,CCGT,55,2,6.370880270397742e-05
Albania,CCGT,56,7,0.1158052852384999
Albania,CCGT,57,7,0.1158052852384999
Albania,CCGT,58,7,0.1158052852384999
Albania,CCGT,59,7,0.1350164033178
Albania,CCGT,60,7,0.1350164033178
Albania,CCGT,61,2,0.0006236836872592
Albania,CCGT,62,7,0.1350164033178
Albania,CCGT,63,7,0.1350164033178
Albania,CCGT,64,7,0.1350164033178
Albania,CCGT,65,7,0.1533279398482999
Albania,CCGT,66,2,6.370880270397742e-05
Albania,CCGT,67,7,0.1533279398482999
Albania,CCGT,68,7,0.1533279398482999
Albania,CCGT,69,7,0.1533279398482999
Albania,CCGT,70,7,0.1533279398482999
Albania,CCGT,71,7,0.1071962883535
Albania,CCGT,72,7,0.1071962883535
Albania,CCGT,73,2,6.370880270397742e-05
Albania,CCGT,74,7,0.1071962883535
Albania,CCGT,75,7,0.1071962883535
Albania,CCGT,76,7,0.1071962883535
Albania,CCGT,77,9,0.0002038951003874
Albania,CCGT,78,9,0.0002038951003874
Albania,CCGT,79,2,6.370880270397742e-05
Albania,CCGT,80,9,0.0002038951003874
Albania,CCGT,81,9,0.0002038951003874
Albania,CCGT,82,9,0.0002038951003874
Albania,CCGT,83,2,6.370880270397742e-05
Albania,CCGT,84,2,9.201165169626486e-06
Albania,CCGT,85,2,9.201165169626486e-06
Albania,CCGT,86,2,9.201165169626486e-06
Albania,CCGT,87,2,9.201165169626486e-06
Albania,CCGT,88,2,9.201165169626486e-06
Albania,CCGT,89,2,6.370880270397742e-05
Albania,CCGT,90,7,0.1259483709425
Albania,CCGT,91,7,0.1259483709425
Albania,CCGT,92,7,0.1259483709425
Albania,CCGT,93,7,0.1259483709425
Albania,CCGT,94,7,0.1259483709425
Albania,CCGT,95,7,0.1057756224468999
Albania,CCGT,96,7,0.1057756224468999
Albania,CCGT,97,2,6.370880270397742e-05
Albania,CCGT,98,7,0.1057756224468999
Albania,CCGT,99,7,0.1057756224468999
Albania,CCGT,100,7,0.1057756224468999
Albania,CCGT,101,2,3.7852747627713735e-05
Albania,CCGT,102,2,3.7852747627713735e-05
Albania,CCGT,103,2,6.370880270397742e-05
Albania,CCGT,104,2,3.7852747627713735e-05
Albania,CCGT,105,2,3.7852747627713735e-05
Albania,CCGT,106,2,3.7852747627713735e-05
Albania,CCGT,107,6,0.3225111858246
Albania,CCGT,108,6,0.3225111858246
Albania,CCGT,109,2,6.370880270397742e-05
Albania,CCGT,110,6,0.3225111858246
Albania,CCGT,111,6,0.3225111858246
Albania,CCGT,112,6,0.3225111858246
Albania,CCGT,113,9,0.0004192706722379
Albania,CCGT,114,2,6.370880270397742e-05
Albania,CCGT,115,9,0.0004192706722379
Albania,CCGT,116,9,0.0004192706722379
Albania,CCGT,117,9,0.0004192706722379
Albania,CCGT,118,9,0.0004192706722379
Albania,CCGT,119,0,0.0001101487998998
Albania,CCGT,120,0,0.0004345487646874
Albania,CCGT,121,3,9.13691510166822e-05
Albania,CCGT,122,0,0.0004892973525231
Albania,CCGT,123,0,0.0001027225317475
Albania,CCGT,124,0,0.0001229514001585
Albania,CCGT,125,0,0.0008566638515948
Albania,CCGT,126,0,0.000125885768829
Albania,CCGT,127,3,0.000431448692967
Albania,CCGT,128,3,0.0006181769430735
Albania,CCGT,129,4,0.0553872807820407
Albania,CCGT,130,0,0.0002940159073949
Albania,CCGT,131,2,0.0006236836872592
Albania,CCGT,132,0,0.0001377049782579
Albania,CCGT,133,0,0.0010971635859812
Albania,CCGT,134,0,6.593213359338933e-05
Albania,CCGT,135,2,0.0006236836872592
Albania,CCGT,136,4,0.057169681039037
Albania,CCGT,137,8,0.000106557100303
Albania,CCGT,138,8,8.982165700723229e-05
Albania,CCGT,139,8,9.516030501370948e-05
Albania,CCGT,140,8,0.0001087292030147
Albania,CCGT,141,8,0.0001245957847871
Albania,CCGT,142,8,7.517873757143962e-05
Albania,CCGT,143,8,0.0007796962375784
Albania,CCGT,144,8,0.0001053945501473
Albania,CCGT,145,8,0.0001020715933783
Albania,CCGT,146,4,0.4147362361548
Albania,CCGT,147,4,0.00071433957102
Albania,CCGT,148,2,6.684678317941195e-05
Albania,CCGT,149,4,0.0014638857160971
Albania,CCGT,150,4,0.000685922836206
Albania,CCGT,151,4,0.2082320669225
Albania,CCGT,152,4,0.001699185865312
Albania,CCGT,153,4,0.0097779653378195
Albania,CCGT,154,4,0.0001608172865211
Albania,CCGT,155,4,0.0022285162056484
Albania,CCGT,156,4,0.5407841712701
Albania,CCGT,157,2,0.0006236836872592
Albania,CCGT,158,4,0.0590731358735801
Albania,CCGT,159,3,0.0001684445534072
Albania,CCGT,160,0,0.0002413023092019
Albania,CCGT,161,0,0.0001100858743793
Albania,CCGT,162,0,0.0001045686504065
Albania,CCGT,163,0,0.0001520952498573
Albania,CCGT,164,0,8.077803063133317e-05
Albania,CCGT,165,3,0.0001482268306031
Albania,CCGT,166,3,0.0001008366201396
Albania,CCGT,167,0,9.264484042359884e-05
Albania,CCGT,168,3,0.0023496616680394
