region,technology,spore,scenario_eu,capacity_gw
Albania,CCGT,169,3,0.0001980474008575
Albania,CCGT,170,3,0.0001249000745773
Albania,CCGT,171,3,0.2359977727962
Albania,CCGT,172,3,0.0231774285340832
Albania,CCGT,173,4,7.854497757416514e-05
Albania,CCGT,174,4,1.4679658191293212e-05
Albania,CCGT,175,3,0.0004931627975229
Albania,CCGT,176,2,7.180441211889003e-05
Albania,CCGT,177,3,0.1992640494331
Albania,CCGT,178,4,3.4053466499672896e-05
Albania,CCGT,179,2,0.0006236836872592
Albania,CCGT,180,4,0.0572428191130891
Albania,CCGT,181,8,0.0001237009537883
Albania,CCGT,182,8,0.0001258733307651
Albania,CCGT,183,8,0.0002143073312803
Albania,CCGT,184,8,0.0011439231770852
Albania,CCGT,185,8,0.0001195061020798
Albania,CCGT,186,8,6.296953016655226e-05
Albania,CCGT,187,8,0.0004996668717153
Albania,CCGT,188,8,0.0001120574874212
Albania,CCGT,189,8,0.0001088299123072
Albania,CHP,0,2,0.0030376465249847
Albania,CHP,1,4,0.1871312488109867
Albania,CHP,2,3,0.3003019475315376
Albania,CHP,3,0,0.3093244792496043
Albania,CHP,4,0,0.3003928726353857
Albania,CHP,5,0,0.3001306744222587
Albania,CHP,6,0,0.3110684458330878
Albania,CHP,7,0,0.3005849134309284
Albania,CHP,8,3,0.3004622798276938
Albania,CHP,9,3,0.3003532399361692
Albania,CHP,10,0,0.3004710570854084
Albania,CHP,11,7,0.4469139721450695
Albania,CHP,12,2,0.0003114526624549
Albania,CHP,13,7,0.4469139721450695
Albania,CHP,14,7,0.4469139721450695
Albania,CHP,15,7,0.4469139721450695
Albania,CHP,16,7,0.4469139721450695
Albania,CHP,17,7,0.4514443712995999
Albania,CHP,18,2,0.0030376465249847
Albania,CHP,19,7,0.4514443712995999
Albania,CHP,20,7,0.4514443712995999
Albania,CHP,21,7,0.4514443712995999
Albania,CHP,22,7,0.4514443712995999
Albania,CHP,23,2,0.0003114526624549
Albania,CHP,24,2,8.044517202372603e-05
Albania,CHP,25,2,8.044517202372603e-05
Albania,CHP,26,2,8.044517202372603e-05
Albania,CHP,27,2,8.044517202372603e-05
Albania,CHP,28,2,8.044517202372603e-05
Albania,CHP,29,1,0.0011224575751456
Albania,CHP,30,1,0.0011224575751456
Albania,CHP,31,2,0.0003114526624549
Albania,CHP,32,1,0.0011224575751456
Albania,CHP,33,1,0.0011224575751456
Albania,CHP,34,1,0.0011224575751456
Albania,CHP,35,7,0.4659500950311613
Albania,CHP,36,7,0.4659500950311613
Albania,CHP,37,2,0.0003114526624549
Albania,CHP,38,7,0.4659500950311613
Albania,CHP,39,7,0.4659500950311613
Albania,CHP,40,7,0.4659500950311613
Albania,CHP,41,5,0.0013279998739182
Albania,CHP,42,5,0.0013279998739182
Albania,CHP,43,2,0.0003114526624549
Albania,CHP,44,5,0.0013279998739182
Albania,CHP,45,5,0.0013279998739182
Albania,CHP,46,5,0.0013279998739182
Albania,CHP,47,4,0.3192373519798745
Albania,CHP,48,4,0.3192373519798745
Albania,CHP,49,2,0.0003114526624549
Albania,CHP,50,4,0.3192373519798745
Albania,CHP,51,4,0.3192373519798745
Albania,CHP,52,4,0.3192373519798745
Albania,CHP,53,7,0.4469139721450695
Albania,CHP,54,7,0.4469139721450695
Albania,CHP,55,2,0.0003114526624549
Albania,CHP,56,7,0.4469139721450695
Albania,CHP,57,7,0.4469139721450695
Albania,CHP,58,7,0.4469139721450695
Albania,CHP,59,7,0.4514443712995999
Albania,CHP,60,7,0.4514443712995999
Albania,CHP,61,2,0.0030376465249847
Albania,CHP,62,7,0.4514443712995999
Albania,CHP,63,7,0.4514443712995999
Albania,CHP,64,7,0.4514443712995999
Albania,CHP,65,7,0.4443604340483689
Albania,CHP,66,2,0.0003114526624549
Albania,CHP,67,7,0.4443604340483689
Albania,CHP,68,7,0.4443604340483689
Albania,CHP,69,7,0.4443604340483689
Albania,CHP,70,7,0.4443604340483689
Albania,CHP,71,7,0.4064079092861378
Albania,CHP,72,7,0.4064079092861378
Albania,CHP,73,2,0.0003114526624549
Albania,CHP,74,7,0.4064079092861378
Albania,CHP,75,7,0.4064079092861378
Albania,CHP,76,7,0.4064079092861378
Albania,CHP,77,9,0.0005326033761268
Albania,CHP,78,9,0.0005326033761268
Albania,CHP,79,2,0.0003114526624549
Albania,CHP,80,9,0.0005326033761268
Albania,CHP,81,9,0.0005326033761268
Albania,CHP,82,9,0.0005326033761268
Albania,CHP,83,2,0.0003114526624549
Albania,CHP,84,2,3.8599796924783774e-05
Albania,CHP,85,2,3.8599796924783774e-05
Albania,CHP,86,2,3.8599796924783774e-05
Albania,CHP,87,2,3.8599796924783774e-05
Albania,CHP,88,2,3.8599796924783774e-05
Albania,CHP,89,2,0.0003114526624549
Albania,CHP,90,7,0.453608720250904
Albania,CHP,91,7,0.453608720250904
Albania,CHP,92,7,0.453608720250904
Albania,CHP,93,7,0.453608720250904
Albania,CHP,94,7,0.453608720250904
Albania,CHP,95,7,0.46146747214798
Albania,CHP,96,7,0.46146747214798
Albania,CHP,97,2,0.0003114526624549
Albania,CHP,98,7,0.46146747214798
Albania,CHP,99,7,0.46146747214798
Albania,CHP,100,7,0.46146747214798
Albania,CHP,101,2,0.0001769281846497
Albania,CHP,102,2,0.0001769281846497
Albania,CHP,103,2,0.0003114526624549
Albania,CHP,104,2,0.0001769281846497
Albania,CHP,105,2,0.0001769281846497
Albania,CHP,106,2,0.0001769281846497
Albania,CHP,107,6,0.4624425900080924
Albania,CHP,108,6,0.4624425900080924
Albania,CHP,109,2,0.0003114526624549
Albania,CHP,110,6,0.4624425900080924
Albania,CHP,111,6,0.4624425900080924
Albania,CHP,112,6,0.4624425900080924
Albania,CHP,113,9,0.0011257718018997
Albania,CHP,114,2,0.0003114526624549
Albania,CHP,115,9,0.0011257718018997
Albania,CHP,116,9,0.0011257718018997
Albania,CHP,117,9,0.0011257718018997
Albania,CHP,118,9,0.0011257718018997
Albania,CHP,119,0,0.3004710570854084
Albania,CHP,120,0,0.3004165958001067
Albania,CHP,121,3,0.3003532399361692
Albania,CHP,122,0,0.3001313048755009
Albania,CHP,123,0,0.3003801349918193
Albania,CHP,124,0,0.3110684458330878
Albania,CHP,125,0,0.3001212636784616
Albania,CHP,126,0,0.3093244792496043
Albania,CHP,127,3,0.3003019475315376
Albania,CHP,128,3,0.3004622798276938
Albania,CHP,129,4,0.1871312488109867
Albania,CHP,130,0,0.3003928726353857
Albania,CHP,131,2,0.0030376465249847
Albania,CHP,132,0,0.300483370590257
Albania,CHP,133,0,0.3001306744222587
Albania,CHP,134,0,0.3005849134309284
Albania,CHP,135,2,0.0030376465249847
Albania,CHP,136,4,0.1834379677479765
Albania,CHP,137,8,0.3004412901649512
Albania,CHP,138,8,0.3004759579192627
Albania,CHP,139,8,0.3004630862990695
Albania,CHP,140,8,0.3004759999442701
Albania,CHP,141,8,0.3112516857068876
Albania,CHP,142,8,0.3005813313067659
Albania,CHP,143,8,0.3006120055707926
Albania,CHP,144,8,0.3003351579962653
Albania,CHP,145,8,0.300488096136991
Albania,CHP,146,4,0.0987933167001397
Albania,CHP,147,4,0.178657768557512
Albania,CHP,148,2,0.0003091626974067
Albania,CHP,149,4,0.4998551928594164
Albania,CHP,150,4,0.0074264389559506
Albania,CHP,151,4,0.0753014079328885
Albania,CHP,152,4,0.0090894729145141
Albania,CHP,153,4,0.087679706652484
Albania,CHP,154,4,0.000991208287315
Albania,CHP,155,4,0.0403671285772923
Albania,CHP,156,4,0.0329097239635775
Albania,CHP,157,2,0.0030376465249847
Albania,CHP,158,4,0.1925456463005238
Albania,CHP,159,3,0.3003909891558992
Albania,CHP,160,0,0.309195996952159
Albania,CHP,161,0,0.300424470250017
Albania,CHP,162,0,0.3004314417291908
Albania,CHP,163,0,0.311238262670197
Albania,CHP,164,0,0.3005821017393715
Albania,CHP,165,3,0.3005554748069
Albania,CHP,166,3,0.3003574194031444
Albania,CHP,167,0,0.3005340867156089
Albania,CHP,168,3,0.0110806343281804
Albania,CHP,169,3,0.0007141805637407
Albania,CHP,170,3,0.0006392127708018
Albania,CHP,171,3,0.0072178060711334
Albania,CHP,172,3,0.0198944007091653
Albania,CHP,173,4,0.0002452346023759
Albania,CHP,174,4,5.259393892524056e-05
Albania,CHP,175,3,0.0013304356469884
Albania,CHP,176,2,0.0002927865303053
Albania,CHP,177,3,0.0499419098133126
Albania,CHP,178,4,0.0001261048968376
Albania,CHP,179,2,0.0030376465249847
Albania,CHP,180,4,0.1926506723462104
Albania,CHP,181,8,0.3004041699196579
Albania,CHP,182,8,0.3092885362053461
Albania,CHP,183,8,0.3003867056742642
Albania,CHP,184,8,0.2997968802901163
Albania,CHP,185,8,0.3112297684592359
Albania,CHP,186,8,0.300578332497519
Albania,CHP,187,8,0.3006238697315615
Albania,CHP,188,8,0.3003111629763159
Albania,CHP,189,8,0.3004856884899453
Albania,Hydro,0,2,2.122516
Albania,Hydro,1,4,2.122516
Albania,Hydro,2,3,2.122516
Albania,Hydro,3,0,2.122516
Albania,Hydro,4,0,2.122516
Albania,Hydro,5,0,2.122516
Albania,Hydro,6,0,2.122516
Albania,Hydro,7,0,2.122516
Albania,Hydro,8,3,2.122516
Albania,Hydro,9,3,2.122516
Albania,Hydro,10,0,2.122516
Albania,Hydro,11,7,2.122516
Albania,Hydro,12,2,2.122516
Albania,Hydro,13,7,2.122516
Albania,Hydro,14,7,2.122516
Albania,Hydro,15,7,2.122516
Albania,Hydro,16,7,2.122516
Albania,Hydro,17,7,2.122516
Albania,Hydro,18,2,2.122516
Albania,Hydro,19,7,2.122516
Albania,Hydro,20,7,2.122516
Albania,Hydro,21,7,2.122516
Albania,Hydro,22,7,2.122516
Albania,Hydro,23,2,2.122516
Albania,Hydro,24,2,2.122516
Albania,Hydro,25,2,2.122516
Albania,Hydro,26,2,2.122516
Albania,Hydro,27,2,2.122516
Albania,Hydro,28,2,2.122516
Albania,Hydro,29,1,2.122516
Albania,Hydro,30,1,2.122516
Albania,Hydro,31,2,2.122516
Albania,Hydro,32,1,2.122516
Albania,Hydro,33,1,2.122516
Albania,Hydro,34,1,2.122516
Albania,Hydro,35,7,2.122516
Albania,Hydro,36,7,2.122516
Albania,Hydro,37,2,2.122516
Albania,Hydro,38,7,2.122516
Albania,Hydro,39,7,2.122516
Albania,Hydro,40,7,2.122516
Albania,Hydro,41,5,2.122516
Albania,Hydro,42,5,2.122516
Albania,Hydro,43,2,2.122516
Albania,Hydro,44,5,2.122516
Albania,Hydro,45,5,2.122516
Albania,Hydro,46,5,2.122516
Albania,Hydro,47,4,2.122516
Albania,Hydro,48,4,2.122516
Albania,Hydro,49,2,2.122516
Albania,Hydro,50,4,2.122516
Albania,Hydro,51,4,2.122516
Albania,Hydro,52,4,2.122516
Albania,Hydro,53,7,2.122516
Albania,Hydro,54,7,2.122516
Albania,Hydro,55,2,2.122516
Albania,Hydro,56,7,2.122516
Albania,Hydro,57,7,2.122516
Albania,Hydro,58,7,2.122516
Albania,Hydro,59,7,2.122516
Albania,Hydro,60,7,2.122516
Albania,Hydro,61,2,2.122516
Albania,Hydro,62,7,2.122516
Albania,Hydro,63,7,2.122516
Albania,Hydro,64,7,2.122516
Albania,Hydro,65,7,2.122516
Albania,Hydro,66,2,2.122516
Albania,Hydro,67,7,2.122516
Albania,Hydro,68,7,2.122516
Albania,Hydro,69,7,2.122516
Albania,Hydro,70,7,2.122516
Albania,Hydro,71,7,2.122516
Albania,Hydro,72,7,2.122516
Albania,Hydro,73,2,2.122516
Albania,Hydro,74,7,2.122516
Albania,Hydro,75,7,2.122516
Albania,Hydro,76,7,2.122516
Albania,Hydro,77,9,2.122516
Albania,Hydro,78,9,2.122516
Albania,Hydro,79,2,2.122516
Albania,Hydro,80,9,2.122516
Albania,Hydro,81,9,2.122516
Albania,Hydro,82,9,2.122516
Albania,Hydro,83,2,2.122516
Albania,Hydro,84,2,2.122516
Albania,Hydro,85,2,2.122516
Albania,Hydro,86,2,2.122516
Albania,Hydro,87,2,2.122516
Albania,Hydro,88,2,2.122516
Albania,Hydro,89,2,2.122516
Albania,Hydro,90,7,2.122516
Albania,Hydro,91,7,2.122516
Albania,Hydro,92,7,2.122516
Albania,Hydro,93,7,2.122516
Albania,Hydro,94,7,2.122516
Albania,Hydro,95,7,2.122516
Albania,Hydro,96,7,2.122516
Albania,Hydro,97,2,2.122516
Albania,Hydro,98,7,2.122516
Albania,Hydro,99,7,2.122516
Albania,Hydro,100,7,2.122516
Albania,Hydro,101,2,2.122516
Albania,Hydro,102,2,2.122516
Albania,Hydro,103,2,2.122516
Albania,Hydro,104,2,2.122516
Albania,Hydro,105,2,2.122516
Albania,Hydro,106,2,2.122516
Albania,Hydro,107,6,2.122516
Albania,Hydro,108,6,2.122516
Albania,Hydro,109,2,2.122516
Albania,Hydro,110,6,2.122516
Albania,Hydro,111,6,2.122516
Albania,Hydro,112,6,2.122516
Albania,Hydro,113,9,2.122516
Albania,Hydro,114,2,2.122516
Albania,Hydro,115,9,2.122516
Albania,Hydro,116,9,2.122516
Albania,Hydro,117,9,2.122516
Albania,Hydro,118,9,2.122516
Albania,Hydro,119,0,2.122516
Albania,Hydro,120,0,2.122516
Albania,Hydro,121,3,2.122516
Albania,Hydro,122,0,2.122516
Albania,Hydro,123,0,2.122516
Albania,Hydro,124,0,2.122516
Albania,Hydro,125,0,2.122516
Albania,Hydro,126,0,2.122516
Albania,Hydro,127,3,2.122516
Albania,Hydro,128,3,2.122516
Albania,Hydro,129,4,2.122516
Albania,Hydro,130,0,2.122516
Albania,Hydro,131,2,2.122516
Albania,Hydro,132,0,2.122516
Albania,Hydro,133,0,2.122516
Albania,Hydro,134,0,2.122516
Albania,Hydro,135,2,2.122516
Albania,Hydro,136,4,2.122516
Albania,Hydro,137,8,2.122516
Albania,Hydro,138,8,2.122516
Albania,Hydro,139,8,2.122516
Albania,Hydro,140,8,2.122516
Albania,Hydro,141,8,2.122516
Albania,Hydro,142,8,2.122516
Albania,Hydro,143,8,2.122516
Albania,Hydro,144,8,2.122516
Albania,Hydro,145,8,2.122516
Albania,Hydro,146,4,2.122516
Albania,Hydro,147,4,2.122516
Albania,Hydro,148,2,2.122516
Albania,Hydro,149,4,2.122516
Albania,Hydro,150,4,2.122516
Albania,Hydro,151,4,2.122516
Albania,Hydro,152,4,2.122516
Albania,Hydro,153,4,2.122516
Albania,Hydro,154,4,2.122516
Albania,Hydro,155,4,2.122516
Albania,Hydro,156,4,2.122516
Albania,Hydro,157,2,2.122516
Albania,Hydro,158,4,2.122516
Albania,Hydro,159,3,2.122516
Albania,Hydro,160,0,2.122516
Albania,Hydro,161,0,2.122516
Albania,Hydro,162,0,2.122516
Albania,Hydro,163,0,2.122516
Albania,Hydro,164,0,2.122516
Albania,Hydro,165,3,2.122516
Albania,Hydro,166,3,2.122516
Albania,Hydro,167,0,2.122516
Albania,Hydro,168,3,2.122516
Albania,Hydro,169,3,2.122516
Albania,Hydro,170,3,2.122516
Albania,Hydro,171,3,2.122516
Albania,Hydro,172,3,2.122516
Albania,Hydro,173,4,2.122516
Albania,Hydro,174,4,2.122516
Albania,Hydro,175,3,2.122516
Albania,Hydro,176,2,2.122516
Albania,Hydro,177,3,2.122516
Albania,Hydro,178,4,2.122516
Albania,Hydro,179,2,2.122516
Albania,Hydro,180,4,2.122516
Albania,Hydro,181,8,2.122516
Albania,Hydro,182,8,2.122516
Albania,Hydro,183,8,2.122516
Albania,Hydro,184,8,2.122516
Albania,Hydro,185,8,2.122516
Albania,Hydro,186,8,2.122516
Albania,Hydro,187,8,2.122516
Albania,Hydro,188,8,2.122516
Albania,Hydro,189,8,2.122516
Albania,Offshore wind,0,2,0.0022076028176512
Albania,Offshore wind,1,4,0.1032429105704
Albania,Offshore wind,2,3,0.0002672689226724
Albania,Offshore wind,3,0,4.355882645770782e-05
Albania,Offshore wind,4,0,0.0001279415837479
Albania,Offshore wind,5,0,0.000733818554649
Albania,Offshore wind,6,0,4.142443129630119e-05
Albania,Offshore wind,7,0,1.857320084938445e-05
Albania,Offshore wind,8,3,0.0001963859303302
Albania,Offshore wind,9,3,5.4058259342757125e-05
Albania,Offshore wind,10,0,5.5055673839188495e-05
Albania,Offshore wind,11,7,0.2901374462149
Albania,Offshore wind,12,2,0.00012551320489
Albania,Offshore wind,13,7,0.2901374462149
Albania,Offshore wind,14,7,0.2901374462149
Albania,Offshore wind,15,7,0.2901374462149
Albania,Offshore wind,16,7,0.2901374462149
Albania,Offshore wind,17,7,0.3685725445173999
Albania,Offshore wind,18,2,0.0022076028176512
Albania,Offshore wind,19,7,0.3685725445173999
Albania,Offshore wind,20,7,0.3685725445173999
Albania,Offshore wind,21,7,0.3685725445173999
Albania,Offshore wind,22,7,0.3685725445173999
Albania,Offshore wind,23,2,0.00012551320489
Albania,Offshore wind,24,2,3.3272434870113155e-05
Albania,Offshore wind,25,2,3.3272434870113155e-05
Albania,Offshore wind,26,2,3.3272434870113155e-05
Albania,Offshore wind,27,2,3.3272434870113155e-05
Albania,Offshore wind,28,2,3.3272434870113155e-05
Albania,Offshore wind,29,1,0.0021636801854321
Albania,Offshore wind,30,1,0.0021636801854321
Albania,Offshore wind,31,2,0.00012551320489
Albania,Offshore wind,32,1,0.0021636801854321
Albania,Offshore wind,33,1,0.0021636801854321
Albania,Offshore wind,34,1,0.0021636801854321
Albania,Offshore wind,35,7,0.3170875189618
Albania,Offshore wind,36,7,0.3170875189618
Albania,Offshore wind,37,2,0.00012551320489
Albania,Offshore wind,38,7,0.3170875189618
Albania,Offshore wind,39,7,0.3170875189618
Albania,Offshore wind,40,7,0.3170875189618
Albania,Offshore wind,41,5,0.0004961550653506
Albania,Offshore wind,42,5,0.0004961550653506
Albania,Offshore wind,43,2,0.00012551320489
Albania,Offshore wind,44,5,0.0004961550653506
Albania,Offshore wind,45,5,0.0004961550653506
Albania,Offshore wind,46,5,0.0004961550653506
Albania,Offshore wind,47,4,0.1632812513467
Albania,Offshore wind,48,4,0.1632812513467
Albania,Offshore wind,49,2,0.00012551320489
Albania,Offshore wind,50,4,0.1632812513467
Albania,Offshore wind,51,4,0.1632812513467
Albania,Offshore wind,52,4,0.1632812513467
Albania,Offshore wind,53,7,0.2901374462149
Albania,Offshore wind,54,7,0.2901374462149
Albania,Offshore wind,55,2,0.00012551320489
Albania,Offshore wind,56,7,0.2901374462149
Albania,Offshore wind,57,7,0.2901374462149
Albania,Offshore wind,58,7,0.2901374462149
Albania,Offshore wind,59,7,0.3685725445173999
Albania,Offshore wind,60,7,0.3685725445173999
Albania,Offshore wind,61,2,0.0022076028176512
Albania,Offshore wind,62,7,0.3685725445173999
Albania,Offshore wind,63,7,0.3685725445173999
Albania,Offshore wind,64,7,0.3685725445173999
Albania,Offshore wind,65,7,0.3007145458
Albania,Offshore wind,66,2,0.00012551320489
Albania,Offshore wind,67,7,0.3007145458
Albania,Offshore wind,68,7,0.3007145458
Albania,Offshore wind,69,7,0.3007145458
Albania,Offshore wind,70,7,0.3007145458
Albania,Offshore wind,71,7,0.359215811311
Albania,Offshore wind,72,7,0.359215811311
Albania,Offshore wind,73,2,0.00012551320489
Albania,Offshore wind,74,7,0.359215811311
Albania,Offshore wind,75,7,0.359215811311
Albania,Offshore wind,76,7,0.359215811311
Albania,Offshore wind,77,9,0.0001987465019911
Albania,Offshore wind,78,9,0.0001987465019911
Albania,Offshore wind,79,2,0.00012551320489
Albania,Offshore wind,80,9,0.0001987465019911
Albania,Offshore wind,81,9,0.0001987465019911
Albania,Offshore wind,82,9,0.0001987465019911
Albania,Offshore wind,83,2,0.00012551320489
Albania,Offshore wind,84,2,1.9697825453966025e-05
Albania,Offshore wind,85,2,1.9697825453966025e-05
Albania,Offshore wind,86,2,1.9697825453966025e-05
Albania,Offshore wind,87,2,1.9697825453966025e-05
Albania,Offshore wind,88,2,1.9697825453966025e-05
Albania,Offshore wind,89,2,0.00012551320489
Albania,Offshore wind,90,7,0.0
Albania,Offshore wind,91,7,0.0
Albania,Offshore wind,92,7,0.0
Albania,Offshore wind,93,7,0.0
Albania,Offshore wind,94,7,0.0
Albania,Offshore wind,95,7,0.3174393397805
Albania,Offshore wind,96,7,0.3174393397805
