spore,importing_region,exporting_region,grid_transfer_capacity
0,Albania,Greece,0.8
0,Albania,Montenegro,0.9
0,Albania,North Macedonia,0.7
0,Albania,Serbia,0.9
0,Austria,Czechia,2.1
0,Austria,Germany,10.8
0,Austria,Hungary,1.6
0,Austria,Italy,2.3
0,Austria,Slovenia,1.6
0,Austria,Switzerland,2.4
0,Belgium,France,4.6
0,Belgium,Germany,2.0
0,Belgium,Luxembourg,0.7
0,Belgium,Netherlands,3.5
0,Belgium,United Kingdom,2.4
0,Bosnia Herzegovina,Croatia,4.0
0,Bosnia Herzegovina,Montenegro,1.4
0,Bosnia Herzegovina,Serbia,3.1
0,Bulgaria,Greece,0.5
0,Bulgaria,North Macedonia,0.7
0,Bulgaria,Romania,1.7
0,Bulgaria,Serbia,0.9
0,Croatia,Bosnia Herzegovina,4.0
0,Croatia,Hungary,2.3
0,Croatia,Serbia,0.7
0,Croatia,Slovenia,3.4
0,Cyprus,Greece,2.0
0,Czechia,Austria,2.1
0,Czechia,Germany,3.7
0,Czechia,Poland,2.1
0,Czechia,Slovakia,2.7
0,Denmark,Germany,4.949999999999999
0,Denmark,Netherlands,0.7
0,Denmark,Norway,1.7
0,Denmark,Poland,0.6
0,Denmark,Sweden,2.44
0,Denmark,United Kingdom,1.4
0,Estonia,Finland,1.0
0,Estonia,Latvia,0.95
0,Finland,Estonia,1.0
0,Finland,Norway,0.05
0,Finland,Sweden,3.95
0,France,Belgium,4.6
0,France,Germany,2.9
0,France,Ireland,0.7
0,France,Italy,7.699999999999999
0,France,Spain,10.9
0,France,Switzerland,9.5
0,France,United Kingdom,10.6
0,Germany,Austria,10.8
0,Germany,Belgium,2.0
0,Germany,Czechia,3.7
0,Germany,Denmark,4.949999999999999
0,Germany,France,2.9
0,Germany,Luxembourg,2.9
0,Germany,Netherlands,8.5
0,Germany,Norway,1.4
0,Germany,Poland,5.1000000000000005
0,Germany,Sweden,2.6
0,Germany,Switzerland,6.0
0,Germany,United Kingdom,1.4
0,Greece,Albania,0.8
0,Greece,Bulgaria,0.5
0,Greece,Cyprus,2.0
0,Greece,Italy,1.0
0,Greece,North Macedonia,0.6
0,Hungary,Austria,1.6
0,Hungary,Croatia,2.3
0,Hungary,Romania,1.4
0,Hungary,Serbia,0.7
0,Hungary,Slovakia,5.4
0,Hungary,Slovenia,0.9
0,Iceland,United Kingdom,1.0
0,Ireland,France,0.7
0,Ireland,United Kingdom,2.85
0,Italy,Austria,2.3
0,Italy,France,7.699999999999999
0,Italy,Greece,1.0
0,Italy,Montenegro,1.2
0,Italy,Slovenia,3.6
0,Italy,Switzerland,8.5
0,Latvia,Estonia,0.95
0,Latvia,Lithuania,1.5
0,Lithuania,Latvia,1.5
0,Lithuania,Poland,1.0
0,Lithuania,Sweden,0.7
0,Luxembourg,Belgium,0.7
0,Luxembourg,Germany,2.9
0,Montenegro,Albania,0.9
0,Montenegro,Bosnia Herzegovina,1.4
0,Montenegro,Italy,1.2
0,Montenegro,Serbia,2.9
0,Netherlands,Belgium,3.5
0,Netherlands,Denmark,0.7
0,Netherlands,Germany,8.5
0,Netherlands,Norway,0.7
0,Netherlands,United Kingdom,1.0
0,North Macedonia,Albania,0.7
0,North Macedonia,Bulgaria,0.7
0,North Macedonia,Greece,0.6
0,North Macedonia,Serbia,1.9
0,Norway,Denmark,1.7
0,Norway,Finland,0.05
0,Norway,Germany,1.4
0,Norway,Netherlands,0.7
0,Norway,Sweden,4.098
0,Norway,United Kingdom,3.4
0,Poland,Czechia,2.1
0,Poland,Denmark,0.6
0,Poland,Germany,5.1000000000000005
0,Poland,Lithuania,1.0
0,Poland,Slovakia,0.6
0,Poland,Sweden,0.6
0,Portugal,Spain,3.5500000000000003
0,Romania,Bulgaria,1.7
0,Romania,Hungary,1.4
0,Romania,Serbia,2.5
0,Serbia,Albania,0.9
0,Serbia,Bosnia Herzegovina,3.1
0,Serbia,Bulgaria,0.9
0,Serbia,Croatia,0.7
0,Serbia,Hungary,0.7
0,Serbia,Montenegro,2.9
0,Serbia,North Macedonia,1.9
0,Serbia,Romania,2.5
0,Slovakia,Czechia,2.7
