,,,primary_energy_supply_twh
0,Albania,Biofuels,0.5485861506809885
0,Albania,Coal,2.5593275495399994
0,Albania,Natural gas,4.320917187462619
0,Albania,"Natural gas, carbon-neutral net imports",-0.0435580873939396
0,Albania,Net electricity import,-8.139514600265823
0,Albania,Oil,2.2723655210631635
0,Albania,"Oil, carbon-neutral net imports",-0.1823743042874996
0,Albania,Renewable electricity,17.45879979944191
0,Austria,Biofuels,17.399164210241032
0,Austria,Coal,13.190234330506936
0,Austria,Natural gas,113.95383617971092
0,Austria,"Natural gas, carbon-neutral net imports",-0.0917270239086028
0,Austria,Net electricity import,-10.3682392315469
0,Austria,Oil,14.232454328061786
0,Austria,"Oil, carbon-neutral net imports",-0.3605318013473221
0,Austria,Renewable electricity,94.78205526604783
0,Austria,Waste,6.308914028128222
0,Belgium,Biofuels,10.440970435389868
0,Belgium,Coal,4.9858478464488005
0,Belgium,Natural gas,171.86688482320804
0,Belgium,"Natural gas, carbon-neutral net imports",-0.0740308630108177
0,Belgium,Net electricity import,44.834747941352056
0,Belgium,Oil,146.86680701073954
0,Belgium,"Oil, carbon-neutral net imports",-0.3322366059311148
0,Belgium,Renewable electricity,71.47046953312994
0,Belgium,Waste,10.089556528128174
0,Bosnia Herzegovina,Biofuels,0.7745002598412698
0,Bosnia Herzegovina,Coal,15.771554728921814
0,Bosnia Herzegovina,Natural gas,18.65026535406443
0,Bosnia Herzegovina,"Natural gas, carbon-neutral net imports",-0.0558759891222437
0,Bosnia Herzegovina,Net electricity import,1.4244492390455648
0,Bosnia Herzegovina,Oil,1.489485550141879
0,Bosnia Herzegovina,"Oil, carbon-neutral net imports",-0.2183952845029933
0,Bosnia Herzegovina,Renewable electricity,8.47056456647719
0,Bulgaria,Biofuels,4.026307101825532
0,Bulgaria,Coal,27.22523756845328
0,Bulgaria,Natural gas,35.805956359828784
0,Bulgaria,"Natural gas, carbon-neutral net imports",-0.0781271113722087
0,Bulgaria,Net electricity import,-9.194684581972547
0,Bulgaria,Nuclear electricity,14.891949286418484
0,Bulgaria,Oil,8.796756806727833
0,Bulgaria,"Oil, carbon-neutral net imports",-0.2960382313028816
0,Bulgaria,Renewable electricity,31.750595922754385
0,Bulgaria,Waste,0.3229204170172163
0,Croatia,Biofuels,1.240416018020064
0,Croatia,Coal,4.902170896422893
0,Croatia,Natural gas,28.70350026735489
0,Croatia,"Natural gas, carbon-neutral net imports",-0.0614963968682064
0,Croatia,Net electricity import,-11.567310781918396
0,Croatia,Oil,6.740228501184959
0,Croatia,"Oil, carbon-neutral net imports",-0.2361710862069664
0,Croatia,Renewable electricity,36.23081988841829
