year,region,technology,carriers,spore,capacity_twh
2030,Austria,Methane storage,methane,255,24.214146246814124
2030,Austria,Methane storage,methane,263,11.964408160803977
2030,Austria,Methane storage,methane,328,24.237522888782834
2030,Austria,Methane storage,methane,345,11.886435895563363
2030,Austria,Methane storage,methane,431,13.279422125522052
2030,Belgium,Battery storage,electricity,0,1.1787203234666641e-07
2030,Belgium,Battery storage,electricity,21,1.0951493927263914e-06
2030,Belgium,Battery storage,electricity,32,0.0004581453000427277
2030,Belgium,Battery storage,electricity,77,3.6915538892642746e-06
2030,Belgium,Battery storage,electricity,100,0.00012855579042770935
2030,Belgium,Battery storage,electricity,206,2.0291429498666132e-07
2030,Belgium,Battery storage,electricity,255,0.0
2030,Belgium,Battery storage,electricity,263,5.09935546322384e-06
2030,Belgium,Battery storage,electricity,328,5.06192627908937e-05
2030,Belgium,Battery storage,electricity,345,0.008496425012607767
2030,Belgium,Battery storage,electricity,431,1.589843874791285e-06
2030,Belgium,Heat storage,heat,0,0.03970406534039198
2030,Belgium,Heat storage,heat,21,0.05069271969083657
2030,Belgium,Heat storage,heat,32,0.0877053522270811
2030,Belgium,Heat storage,heat,77,0.04304145508299291
2030,Belgium,Heat storage,heat,100,0.03246841320860301
2030,Belgium,Heat storage,heat,206,0.02856571176400064
2030,Belgium,Heat storage,heat,255,0.0
2030,Belgium,Heat storage,heat,263,0.0709251762435056
2030,Belgium,Heat storage,heat,328,0.023645115520014488
2030,Belgium,Heat storage,heat,345,0.08552681380643933
2030,Belgium,Heat storage,heat,431,0.17818369170898235
2030,Belgium,Hydro storage,electricity,0,0.001604380011234394
2030,Belgium,Hydro storage,electricity,21,0.005148780736347282
2030,Belgium,Hydro storage,electricity,32,0.005516122386055532
2030,Belgium,Hydro storage,electricity,77,0.0018629946120489551
2030,Belgium,Hydro storage,electricity,100,0.004001318157097371
2030,Belgium,Hydro storage,electricity,206,0.004653290939879355
2030,Belgium,Hydro storage,electricity,255,0.00267825410649247
2030,Belgium,Hydro storage,electricity,263,0.0002063862457859243
2030,Belgium,Hydro storage,electricity,328,0.0029949210211884657
2030,Belgium,Hydro storage,electricity,345,0.00048217518600351483
2030,Belgium,Hydro storage,electricity,431,0.005432072429271308
2030,Belgium,Hydrogen storage,hydrogen,0,9.83876845743072e-06
2030,Belgium,Hydrogen storage,hydrogen,21,2.4831493819566177e-06
2030,Belgium,Hydrogen storage,hydrogen,32,0.00012811663881207293
2030,Belgium,Hydrogen storage,hydrogen,77,2.7669363451545388e-06
2030,Belgium,Hydrogen storage,hydrogen,100,0.0008563545095280929
2030,Belgium,Hydrogen storage,hydrogen,206,2.3508206788015526e-07
2030,Belgium,Hydrogen storage,hydrogen,255,0.0
2030,Belgium,Hydrogen storage,hydrogen,263,1.504566873462374e-06
2030,Belgium,Hydrogen storage,hydrogen,328,7.660363450087525e-06
2030,Belgium,Hydrogen storage,hydrogen,345,0.0041102306801478255
2030,Belgium,Hydrogen storage,hydrogen,431,9.465481128996446e-06
2030,Belgium,Methane storage,methane,0,0.8589429101433641
2030,Belgium,Methane storage,methane,21,2.606399887351728
2030,Belgium,Methane storage,methane,32,1.9573018878919743
2030,Belgium,Methane storage,methane,77,2.199943684426871
