year,region,technology,spore,capacity_gw
2030,Austria,Onshore wind,77,11.335549053840174
2030,Austria,Onshore wind,100,6.091818182148311
2030,Austria,Onshore wind,206,0.00017919700892854416
2030,Austria,Onshore wind,255,0.0
2030,Austria,Onshore wind,263,3.197795740375012
2030,Austria,Onshore wind,328,20.434913426744973
2030,Austria,Onshore wind,345,6.910375706667821
2030,Austria,Onshore wind,431,26.355342737468238
2030,Austria,PV,0,0.008272221444681073
2030,Austria,PV,21,0.007039638186817184
2030,Austria,PV,32,6.085395884498215
2030,Austria,PV,77,0.00477245383092934
2030,Austria,PV,100,5.611191878947918
2030,Austria,PV,206,5.581423703451157
2030,Austria,PV,255,8.85578031921058
2030,Austria,PV,263,9.203815347548012
2030,Austria,PV,328,0.017521649934676652
2030,Austria,PV,345,7.36786280221605
2030,Austria,PV,431,0.04645836397216296
2030,Belgium,Bio to liquids,0,0.0
2030,Belgium,Bio to liquids,21,0.0
2030,Belgium,Bio to liquids,32,0.0
2030,Belgium,Bio to liquids,77,0.0
2030,Belgium,Bio to liquids,100,0.0003030074492278044
2030,Belgium,Bio to liquids,206,0.0
2030,Belgium,Bio to liquids,255,0.0
2030,Belgium,Bio to liquids,263,0.0
2030,Belgium,Bio to liquids,328,3.342069910779992e-05
2030,Belgium,Bio to liquids,345,0.003040420706159208
2030,Belgium,Bio to liquids,431,0.0
2030,Belgium,CCGT,0,0.000231788944168036
2030,Belgium,CCGT,21,0.00011323872365069785
2030,Belgium,CCGT,32,0.032017486699165126
2030,Belgium,CCGT,77,0.0003046173220761388
2030,Belgium,CCGT,100,0.025913205518495568
2030,Belgium,CCGT,206,0.0
2030,Belgium,CCGT,255,0.0
2030,Belgium,CCGT,263,0.0
2030,Belgium,CCGT,328,0.00029111078172857073
2030,Belgium,CCGT,345,0.5789167828585838
2030,Belgium,CCGT,431,0.0004104510176012853
2030,Belgium,CHP,0,0.13592975875984836
2030,Belgium,CHP,21,0.15848983668583505
2030,Belgium,CHP,32,0.26860341209634947
2030,Belgium,CHP,77,0.07142258212367372
2030,Belgium,CHP,100,0.37850740548795725
2030,Belgium,CHP,206,0.1551351687194952
2030,Belgium,CHP,255,0.15080366432301084
2030,Belgium,CHP,263,0.2792644362961845
2030,Belgium,CHP,328,0.1988248133406585
2030,Belgium,CHP,345,0.6843714263662196
2030,Belgium,CHP,431,1.330717592636589
2030,Belgium,Hydro,0,0.005237563790426485
2030,Belgium,Hydro,21,0.012767186937161152
2030,Belgium,Hydro,32,0.0025731690793883853
2030,Belgium,Hydro,77,0.0233067820558988
2030,Belgium,Hydro,100,0.0028513741866769754
2030,Belgium,Hydro,206,0.018993822357503888
2030,Belgium,Hydro,255,0.015513035461904268
2030,Belgium,Hydro,263,0.027419434193991923
2030,Belgium,Hydro,328,0.015780882392045024
2030,Belgium,Hydro,345,0.007277681596016349
2030,Belgium,Hydro,431,0.018504519569735017
2030,Belgium,Offshore wind,0,0.0001283286360183833
2030,Belgium,Offshore wind,21,0.0
2030,Belgium,Offshore wind,32,0.09254564314733443
2030,Belgium,Offshore wind,77,0.01464964183060757
2030,Belgium,Offshore wind,100,0.05852975341158633
2030,Belgium,Offshore wind,206,0.0
2030,Belgium,Offshore wind,255,0.0
2030,Belgium,Offshore wind,263,0.0
2030,Belgium,Offshore wind,328,0.001510869305787677
2030,Belgium,Offshore wind,345,0.08753491392014505
2030,Belgium,Offshore wind,431,0.0008096480230565442
2030,Belgium,Onshore wind,0,21.336576183431372
2030,Belgium,Onshore wind,21,17.265408734347837
2030,Belgium,Onshore wind,32,11.17067375204291
2030,Belgium,Onshore wind,77,6.423348820966408e-05
2030,Belgium,Onshore wind,100,16.799667574604413
2030,Belgium,Onshore wind,206,0.0
2030,Belgium,Onshore wind,255,0.0
2030,Belgium,Onshore wind,263,0.0004803881870180953
2030,Belgium,Onshore wind,328,13.841423180866762
2030,Belgium,Onshore wind,345,16.302522022857996
2030,Belgium,Onshore wind,431,4.885980570274998
2030,Belgium,PV,0,0.0025203659893154825
2030,Belgium,PV,21,0.0010272075128913058
2030,Belgium,PV,32,4.976101199926934
2030,Belgium,PV,77,0.0015321742258571178
2030,Belgium,PV,100,27.940878323231054
2030,Belgium,PV,206,0.0
