year,region,technology,spore,capacity_gw
2030,Belgium,Heat pump,0,7.5442778210096355
2030,Belgium,Heat pump,21,9.333350906179344
2030,Belgium,Heat pump,32,11.025594891010412
2030,Belgium,Heat pump,77,15.811904877568256
2030,Belgium,Heat pump,100,0.0
2030,Belgium,Heat pump,206,5.770130399887566
2030,Belgium,Heat pump,255,4.966595260911045
2030,Belgium,Heat pump,263,5.239952760539723
2030,Belgium,Heat pump,328,19.186194762853948
2030,Belgium,Heat pump,345,6.328585252093103
2030,Belgium,Heat pump,431,0.9086162994481192
2030,Bosnia Herzegovina,Boiler,0,0.001661216485523944
2030,Bosnia Herzegovina,Boiler,21,0.0018099920899947131
2030,Bosnia Herzegovina,Boiler,32,0.0837995898083981
2030,Bosnia Herzegovina,Boiler,77,0.16310683892479227
2030,Bosnia Herzegovina,Boiler,100,1.4246283340179968
2030,Bosnia Herzegovina,Boiler,206,0.0
2030,Bosnia Herzegovina,Boiler,255,0.12428714083111168
2030,Bosnia Herzegovina,Boiler,263,0.004121240260233611
2030,Bosnia Herzegovina,Boiler,328,0.0014026651036215768
2030,Bosnia Herzegovina,Boiler,345,0.3159524326152675
2030,Bosnia Herzegovina,Boiler,431,0.0035021799604261663
2030,Bosnia Herzegovina,CHP,0,0.08757032804474653
2030,Bosnia Herzegovina,CHP,21,0.006560282854429752
2030,Bosnia Herzegovina,CHP,32,0.006437797140831687
2030,Bosnia Herzegovina,CHP,77,0.16607932044703033
2030,Bosnia Herzegovina,CHP,100,0.01471408781389505
2030,Bosnia Herzegovina,CHP,206,0.0006765574282944205
2030,Bosnia Herzegovina,CHP,255,0.0
2030,Bosnia Herzegovina,CHP,263,0.7813059894198595
2030,Bosnia Herzegovina,CHP,328,0.00010226332511561967
2030,Bosnia Herzegovina,CHP,345,0.05392614545770404
2030,Bosnia Herzegovina,CHP,431,0.9559197149131836
2030,Bosnia Herzegovina,Electric heater,0,0.0005080292056402662
2030,Bosnia Herzegovina,Electric heater,21,0.00021535781992182727
2030,Bosnia Herzegovina,Electric heater,32,0.026792940789549878
2030,Bosnia Herzegovina,Electric heater,77,0.00023986061959991993
2030,Bosnia Herzegovina,Electric heater,100,0.0
2030,Bosnia Herzegovina,Electric heater,206,0.0
2030,Bosnia Herzegovina,Electric heater,255,0.0
2030,Bosnia Herzegovina,Electric heater,263,0.0
2030,Bosnia Herzegovina,Electric heater,328,0.0016292084538431523
2030,Bosnia Herzegovina,Electric heater,345,0.10789259842239486
2030,Bosnia Herzegovina,Electric heater,431,0.37177369975658986
2030,Bosnia Herzegovina,Heat pump,0,0.7058536028673887
2030,Bosnia Herzegovina,Heat pump,21,2.5755109509709926
2030,Bosnia Herzegovina,Heat pump,32,0.6983171157580098
2030,Bosnia Herzegovina,Heat pump,77,1.5847092962827867
2030,Bosnia Herzegovina,Heat pump,100,0.0
2030,Bosnia Herzegovina,Heat pump,206,1.7091646658742368
2030,Bosnia Herzegovina,Heat pump,255,2.0886806539630656
2030,Bosnia Herzegovina,Heat pump,263,0.5548093626549986
2030,Bosnia Herzegovina,Heat pump,328,1.5711525668001123
2030,Bosnia Herzegovina,Heat pump,345,0.5840582930540216
2030,Bosnia Herzegovina,Heat pump,431,0.03419156199251398
2030,Bulgaria,Boiler,0,0.0014271562239611124
2030,Bulgaria,Boiler,21,0.0003678372594231639
2030,Bulgaria,Boiler,32,0.19587061134873796
2030,Bulgaria,Boiler,77,0.5709131830703976
