spore,importing_region,exporting_region,grid_transfer_capacity
0,Sweden,Norway,35.5997310373595
0,Sweden,Poland,9.4615276334493
0,Switzerland,Austria,2.4000128291765
0,Switzerland,France,29.4913712932298
0,Switzerland,Germany,20.4463170982616
0,Switzerland,Italy,8.5006634476806
0,United Kingdom,Belgium,2.3999955525001
0,United Kingdom,Denmark,10.0093834260662
0,United Kingdom,France,19.2500240581878
0,United Kingdom,Germany,12.5302801539267
0,United Kingdom,Iceland,2.2271100854342003
0,United Kingdom,Ireland,7.102646532615701
0,United Kingdom,Netherlands,6.1056747800803
0,United Kingdom,Norway,14.9228557875553
1,Albania,Greece,0.8000069287459
1,Albania,Montenegro,0.9000024567034001
1,Albania,North Macedonia,0.6999997083101
1,Albania,Serbia,0.9000071905818999
1,Austria,Czechia,3.0514325385067
1,Austria,Germany,25.404483575846896
1,Austria,Hungary,15.5978920225957
1,Austria,Italy,2.3000974862691
1,Austria,Slovenia,1.5999998367403
1,Austria,Switzerland,2.4000048655071
1,Belgium,France,36.1799879359913
1,Belgium,Germany,2.0000022819005
1,Belgium,Luxembourg,12.5491388431356
1,Belgium,Netherlands,15.486841274144
1,Belgium,United Kingdom,23.9997439506059
1,Bosnia Herzegovina,Croatia,4.000000443035701
1,Bosnia Herzegovina,Montenegro,1.3999997235123
1,Bosnia Herzegovina,Serbia,3.0999999942763004
1,Bulgaria,Greece,4.7245362644030005
1,Bulgaria,North Macedonia,0.7000245346965001
1,Bulgaria,Romania,13.448430173800698
1,Bulgaria,Serbia,2.1768796586440002
1,Croatia,Bosnia Herzegovina,4.000000443035701
1,Croatia,Hungary,4.5806238050272
1,Croatia,Serbia,1.6809740090003
1,Croatia,Slovenia,16.2633345542459
1,Cyprus,Greece,2.0000012062661
1,Czechia,Austria,3.0514325385067
1,Czechia,Germany,17.1047411732269
1,Czechia,Poland,18.2480013347562
1,Czechia,Slovakia,9.553095530959
1,Denmark,Germany,33.7294340603951
1,Denmark,Netherlands,6.1417715183738
1,Denmark,Norway,1.7000018415556
1,Denmark,Poland,0.6000045360863
1,Denmark,Sweden,4.0498314065711
1,Denmark,United Kingdom,11.3297918159468
1,Estonia,Finland,2.3975610033758
1,Estonia,Latvia,11.3722150782152
1,Finland,Estonia,2.3975610033758
1,Finland,Norway,1.9998971282867
1,Finland,Sweden,16.175030774676703
1,France,Belgium,36.1799879359913
1,France,Germany,39.0642289359828
1,France,Ireland,27.9999502297875
1,France,Italy,24.407723698225197
1,France,Spain,49.9389144424842
1,France,Switzerland,17.041498714099102
1,France,United Kingdom,21.336171030623003
1,Germany,Austria,25.404483575846896
1,Germany,Belgium,2.0000022819005
1,Germany,Czechia,17.1047411732269
1,Germany,Denmark,33.7294340603951
1,Germany,France,39.0642289359828
1,Germany,Luxembourg,15.3941232128627
1,Germany,Netherlands,36.8150555044357
1,Germany,Norway,13.9999588881546
1,Germany,Poland,17.803023440783104
1,Germany,Sweden,2.7410147871053003
1,Germany,Switzerland,6.0002144173898
1,Germany,United Kingdom,13.9999674059402
1,Greece,Albania,0.8000069287459
1,Greece,Bulgaria,4.7245362644030005
1,Greece,Cyprus,2.0000012062661
1,Greece,Italy,2.4489370816014002
1,Greece,North Macedonia,1.939854124249
1,Hungary,Austria,15.5978920225957
1,Hungary,Croatia,4.5806238050272
1,Hungary,Romania,10.7573661156567
1,Hungary,Serbia,4.9399383421203
1,Hungary,Slovakia,24.3993671132901
1,Hungary,Slovenia,13.7780721258945
1,Iceland,United Kingdom,21.3232067467545
1,Ireland,France,27.9999502297875
1,Ireland,United Kingdom,16.081619235568798
1,Italy,Austria,2.3000974862691
1,Italy,France,24.407723698225197
1,Italy,Greece,2.4489370816014002
1,Italy,Montenegro,1.385555441992
1,Italy,Slovenia,26.999953958647996
1,Italy,Switzerland,8.500020492150101
1,Latvia,Estonia,11.3722150782152
1,Latvia,Lithuania,10.2260185180468
1,Lithuania,Latvia,10.2260185180468
1,Lithuania,Poland,8.5512483393035
1,Lithuania,Sweden,0.7000067571838999
1,Luxembourg,Belgium,12.5491388431356
1,Luxembourg,Germany,15.3941232128627
1,Montenegro,Albania,0.9000024567034001
1,Montenegro,Bosnia Herzegovina,1.3999997235123
1,Montenegro,Italy,1.385555441992
1,Montenegro,Serbia,2.8999998468239
1,Netherlands,Belgium,15.486841274144
1,Netherlands,Denmark,6.1417715183738
1,Netherlands,Germany,36.8150555044357
1,Netherlands,Norway,7.5197715090339
1,Netherlands,United Kingdom,36.2049208998589
1,North Macedonia,Albania,0.6999997083101
1,North Macedonia,Bulgaria,0.7000245346965001
1,North Macedonia,Greece,1.939854124249
1,North Macedonia,Serbia,1.8999998192279
1,Norway,Denmark,1.7000018415556
1,Norway,Finland,1.9998971282867
1,Norway,Germany,13.9999588881546
1,Norway,Netherlands,7.5197715090339
1,Norway,Sweden,29.8191049921743
1,Norway,United Kingdom,22.6585793724433
1,Poland,Czechia,18.2480013347562
1,Poland,Denmark,0.6000045360863
1,Poland,Germany,17.803023440783104
1,Poland,Lithuania,8.5512483393035
1,Poland,Slovakia,23.9993000492693
1,Poland,Sweden,9.330799885016098
1,Portugal,Spain,68.75658578037661
1,Romania,Bulgaria,13.448430173800698
1,Romania,Hungary,10.7573661156567
1,Romania,Serbia,5.1425312465183
1,Serbia,Albania,0.9000071905818999
1,Serbia,Bosnia Herzegovina,3.0999999942763004
1,Serbia,Bulgaria,2.1768796586440002
1,Serbia,Croatia,1.6809740090003
1,Serbia,Hungary,4.9399383421203
1,Serbia,Montenegro,2.8999998468239
1,Serbia,North Macedonia,1.8999998192279
1,Serbia,Romania,5.1425312465183
1,Slovakia,Czechia,9.553095530959
1,Slovakia,Hungary,24.3993671132901
1,Slovakia,Poland,23.9993000492693
1,Slovenia,Austria,1.5999998367403
1,Slovenia,Croatia,16.2633345542459
1,Slovenia,Hungary,13.7780721258945
1,Slovenia,Italy,26.999953958647996
1,Spain,France,49.9389144424842
1,Spain,Portugal,68.75658578037661
1,Sweden,Denmark,4.0498314065711
1,Sweden,Finland,16.175030774676703
1,Sweden,Germany,2.7410147871053003
1,Sweden,Lithuania,0.7000067571838999
1,Sweden,Norway,29.8191049921743
1,Sweden,Poland,9.330799885016098
1,Switzerland,Austria,2.4000048655071
1,Switzerland,France,17.041498714099102
1,Switzerland,Germany,6.0002144173898
1,Switzerland,Italy,8.500020492150101
1,United Kingdom,Belgium,23.9997439506059
1,United Kingdom,Denmark,11.3297918159468
1,United Kingdom,France,21.336171030623003
1,United Kingdom,Germany,13.9999674059402
1,United Kingdom,Iceland,21.3232067467545
1,United Kingdom,Ireland,16.081619235568798
1,United Kingdom,Netherlands,36.2049208998589
1,United Kingdom,Norway,22.6585793724433
2,Albania,Greece,1.7050564254146
2,Albania,Montenegro,3.4250414022076
2,Albania,North Macedonia,1.7953271096517
2,Albania,Serbia,4.8886455452662
2,Austria,Czechia,5.4145183493464
2,Austria,Germany,20.9947944230978
2,Austria,Hungary,14.631119026522299
2,Austria,Italy,3.7849281166838997
2,Austria,Slovenia,1.7964553207867
2,Austria,Switzerland,3.9471203583684003
2,Belgium,France,41.3705019833307
2,Belgium,Germany,2.0043436493899
2,Belgium,Luxembourg,7.819291062586499
2,Belgium,Netherlands,14.9274193234172
2,Belgium,United Kingdom,2.6820709795742
2,Bosnia Herzegovina,Croatia,4.039466257770901
2,Bosnia Herzegovina,Montenegro,1.6875222920212
2,Bosnia Herzegovina,Serbia,3.2894649027922003
2,Bulgaria,Greece,8.441252980906999
2,Bulgaria,North Macedonia,3.6289098217861997
2,Bulgaria,Romania,19.438356731594098
2,Bulgaria,Serbia,4.272331753362001
2,Croatia,Bosnia Herzegovina,4.039466257770901
2,Croatia,Hungary,6.6896588567021
2,Croatia,Serbia,3.0350009644109
2,Croatia,Slovenia,3.5835066915405
2,Cyprus,Greece,2.0065056810111
2,Czechia,Austria,5.4145183493464
2,Czechia,Germany,14.4233487574729
2,Czechia,Poland,20.694331018284
2,Czechia,Slovakia,8.6818420957169
2,Denmark,Germany,31.951844160261604
2,Denmark,Netherlands,3.1046627998353
2,Denmark,Norway,1.7007861860329998
2,Denmark,Poland,2.3128153586946
2,Denmark,Sweden,6.8167452088937
2,Denmark,United Kingdom,8.7193561519813
2,Estonia,Finland,1.5413826695543
2,Estonia,Latvia,16.833054529527598
2,Finland,Estonia,1.5413826695543
2,Finland,Norway,1.9930468033441
2,Finland,Sweden,14.133200295995
2,France,Belgium,41.3705019833307
2,France,Germany,25.463100435092297
2,France,Ireland,27.8312490586067
2,France,Italy,14.9849512953341
2,France,Spain,29.0187396061212
2,France,Switzerland,22.6614504749859
2,France,United Kingdom,12.4485891844772
2,Germany,Austria,20.9947944230978
2,Germany,Belgium,2.0043436493899
2,Germany,Czechia,14.4233487574729
2,Germany,Denmark,31.951844160261604
2,Germany,France,25.463100435092297
2,Germany,Luxembourg,10.324196998053099
2,Germany,Netherlands,34.3427631051253
2,Germany,Norway,3.2845172265642
2,Germany,Poland,16.502001986617
2,Germany,Sweden,2.6117028923012
2,Germany,Switzerland,6.2316659449131
